persona_id,image_id,mean_sim_vs_others
0e88eb65-2be0-4a52-bf30-634538e72a61,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.94346535
4de4478d-c300-4089-90b0-3f281eff4d97,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9381998
efab638c-4451-4c2e-9ae2-c93b07f0dda2,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
188cd82c-04f8-4fe8-871d-52fb6c4c6bfd,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9381998
d438b4d0-e48e-4ce6-94df-581bda1aa156,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
529a2a78-e090-4d34-a390-2250bae58660,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.90428936
105a71b1-11b9-4dc2-b89e-e76537a93b33,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.92965776
9b01d475-8658-4c29-8ac3-dca8262a86a9,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.90399146
d8272c35-07ff-488e-8dec-2c70a1f0dc2a,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
5fe712a2-ea05-4812-9047-f0bb98f202bf,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9652335
1ff5ae1d-29c3-4aed-8134-0cc2d127e4c9,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.8512217
0eb7fb3c-6242-4d5d-a0de-12a56f130fdf,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.90399146
f6417127-9134-44c3-a3c3-2022fa1fc3d2,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.82915676
2cd2d901-4231-41c4-998b-2a8aaf4b50a6,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
64ffeb9c-4589-43d1-815e-321b2e2fcde4,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.80176145
adf1962f-73c0-4b7f-b834-ffd0a72d85f9,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.90399146
3de6ebe7-b4c9-4427-8e1f-f20e76fcdede,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.90399146
543b7720-97c5-4241-af83-64032232081d,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
5a75a371-aa2a-4fe5-833c-d4a3d705c6ff,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
965dc732-123d-4bf5-9b8f-8679debc6fef,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9381998
88fd015b-f489-4470-8267-7c02559a017a,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.8512217
d225f82c-628b-4553-b6dc-693753b0338c,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9106667
aed9ee38-850d-47a7-8a1b-a83f42e0ccdc,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.8512217
6118f246-2a8d-4e32-8a61-98eb670cd761,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
35892068-77dd-4bba-9a95-bf8dcc717a8e,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.93889034
9b67eb0c-4737-47db-9847-96c7c9e2c416,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
f91e00d5-590d-4882-8b70-6cd94e08c0b2,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9381998
f98cc91a-af99-4d1a-8d10-a1a0c727bdd5,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.93889034
cfd19e0b-2923-45cd-9b1f-aff12315f1d3,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
992e1acf-30e2-4af0-9878-06e4a65f4dbf,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.8945193
27182397-2aa2-4716-a66c-9116c67eff03,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
c344efd7-54bb-4171-86db-6e3e0b5865d1,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
d32b6edc-ae82-4071-a217-7c69ba29fd77,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
456bc430-6a6f-4b89-b3fe-9cb990ab4e5d,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
a7db2b6b-97a7-4dad-a2e6-07d1ddb3c858,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9652335
05e16636-4fe4-43c2-8418-9837e2e0161b,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
0e1c0ccb-bb0e-4066-b23a-4c10c96d1aec,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96225595
8e96d3e9-932a-4148-ad9a-27c90ce422f4,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
2b2c258c-3506-4581-8f1c-48314a24877d,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
1ec4305e-c144-446e-99dd-897aa8262771,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9586133
ddfbcdfa-5c5d-49b6-b130-3ca7a0bb3f72,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
c38069d0-1796-4b4a-a1f3-4b700f4b50bd,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.90399146
f8cb65d3-5f2e-4177-82ef-e5c998c54b40,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
8300e66d-77ee-41a7-886e-24f130647d22,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
af06de44-1e35-4373-90bf-f8b72eecc8da,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9586133
ee3939c0-454a-47e5-855c-d2aa234c219f,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
96764a06-89f3-49ad-a1db-c0e1bc11bc88,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
5b06fefe-9a2a-4c30-a835-5dfa9e767bfe,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
8786b267-482b-47be-b097-901040120c07,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
aa37c462-d771-411e-a4b4-6d66621ad4b7,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
e594fcc8-5107-4999-b4cd-676640cd0747,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
ed595d75-3ed9-4171-a0a0-f87007126769,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.86490226
86ad5bcd-5af8-4e6c-b515-701d930682dd,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9042523
f6e91565-339b-434b-ab91-72ece42e8726,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
f954b036-5540-493a-beec-a558171bc2ec,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
4ed2542c-5eb5-4a26-af25-5e04db9daea7,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
cddead2f-0055-4cef-bdf7-f749801799ba,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9042523
3bc47c64-1789-4142-8f6c-816415c03984,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
f0b26d3a-df84-4331-ac98-6cd28318d7cf,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
77c6718b-c5e7-41a1-9eb7-db9a6460d2a9,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
93139849-6f02-4aa6-9f29-d522432e0ae0,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
ac853000-21b0-4bdc-acbc-37c713fdb8da,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
04254e22-d48c-4a9c-9554-aceb64767aed,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
7b10cbdd-8b8e-4189-bd55-bb628197c627,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
e92f0d4b-e967-4c98-a422-52325e0ecc93,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.94677263
655d9d7e-2204-4baa-bcdb-7ab31561f6c6,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9042523
1a304c31-f51a-4aca-9b52-1a5b394f3b38,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9042523
bc0bf42f-fb92-4faa-9a61-66e1129f778c,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
3c15e883-891c-48db-9181-52752f98b3d5,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
a32c9e19-274d-45b7-917f-e30d939b790e,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
9374b12b-c9fb-40a3-abe8-3327112b3f98,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
ac3d74bd-1eff-48d4-9e63-1932d05c9736,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
0eb57e08-a8b5-40ac-b915-97e3b9832236,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
ec767fd4-2a68-4ac8-9086-f2687726b0e4,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
d2aff928-4a62-4045-bae7-e1f88ad7aac4,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
7d360a99-97dd-4b50-b949-acab4c7af11a,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
970e6336-4973-448e-bab9-2a8a67433a64,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.9042523
7ed4dc33-379a-4e0c-9b9c-c4d888071bd5,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.75917137
94c5ab55-be68-4dc0-9baf-6407547bcc67,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
00056301-002b-4188-ae79-f94a05a481f2,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
ee4c8ccd-aec3-4f7f-b354-acf2a44fe64e,102tapSsNubXllWzP7asAW-qwMJApiWt6,0.96853435
