persona_id,avg_compound,std_compound,n
426a1573-6764-4974-b9bf-e40e2a6a1bfa,-0.14568163265306122,0.6707326736094485,49
33930b73-9c95-45da-bb6a-c134e7a9a736,-0.14469591836734694,0.7142706696808476,49
b864dc23-bad2-4149-b3ce-a32a43c64041,-0.14466122448979593,0.6671014614910308,49
ee9ad4c3-c230-4a23-854e-37c570c404d8,-0.14461428571428572,0.7279416385718478,49
200588e6-cf22-4e08-979c-48d2dca14877,-0.144286,0.6752536019473404,50
bb4ebe4e-57e6-41f0-b580-2b82fa0a91d0,-0.144266,0.6651172800095836,50
7ce2401c-9cad-42dd-a2f7-f05181ad2925,-0.144148,0.5865100135686744,50
c326c577-dcfe-4fdc-95a1-5e2a215f44ca,-0.14375400000000002,0.6775722752953957,50
e1be25e8-e128-4a0d-b755-1f6f60705fdd,-0.143232,0.6145918647196623,50
cc10d62b-f0fa-4bbd-bcd9-9cbb0ef4e661,-0.142994,0.7176687557811681,50
9b06c89d-7253-4958-ad58-3f01d7f39d82,-0.14298979591836736,0.7119809352681954,49
20c43037-4e66-4d84-8b8c-8b1033e374ed,-0.1427591836734694,0.7212194068954697,49
6c7cd3ee-7e3e-4668-8df1-3ef43984c36e,-0.14236938775510205,0.6659620291365722,49
1a9445ff-3d2e-4a9b-9bb7-4fac2b5024fb,-0.14201799999999998,0.620880915885006,50
f6e91565-339b-434b-ab91-72ece42e8726,-0.141872,0.6594105695240258,50
d8272c35-07ff-488e-8dec-2c70a1f0dc2a,-0.141868,0.7154328156081322,50
fa5f5444-a978-4db0-af74-144e904c781a,-0.141556,0.6956071487351382,50
2cd2d901-4231-41c4-998b-2a8aaf4b50a6,-0.141454,0.700015490851919,50
7d360a99-97dd-4b50-b949-acab4c7af11a,-0.141228,0.6153771105424639,50
3d1d1e59-9574-424a-ab90-7faecf072cb0,-0.14091875,0.6870038609499268,48
83455ae2-5246-489e-90a9-b5d2de933c75,-0.140602,0.6229799235111507,50
f954b036-5540-493a-beec-a558171bc2ec,-0.14025,0.676376587910514,50
b00b2c04-5a9a-47b6-8f6d-84234ef73515,-0.139154,0.6569280056258145,50
0eb7fb3c-6242-4d5d-a0de-12a56f130fdf,-0.13902857142857145,0.706505634856038,49
5bb6f297-e6e8-474a-b47e-fc2521938536,-0.13894800000000002,0.6670822802843648,50
cddead2f-0055-4cef-bdf7-f749801799ba,-0.138642,0.6917128772305244,50
9b6ac1e7-be81-42a3-a440-920d4c8ceaf5,-0.138452,0.6637699716016086,50
0476547c-6d10-487a-8355-b12cf9992ab7,-0.13827399999999998,0.6891791632849344,50
3e572f8b-f4bd-4514-be29-191b4d1452ba,-0.13736800000000002,0.7115294169603953,50
2d321226-0b06-4332-a94a-3a7bd5d1fcda,-0.13726530612244897,0.7182668424034752,49
75e022f8-2ddf-48e3-961e-401cee60beab,-0.13719591836734693,0.7170811428281042,49
14102a48-2296-4c1d-aec3-956de8e58e3a,-0.137174,0.7010605944319693,50
c98b7e05-e21e-4a35-b6c4-e3ad8c126cd4,-0.136986,0.688317285348991,50
f3bb04f5-5562-4d14-86bc-fe02b7ef7c8d,-0.136865306122449,0.6940828179304387,49
ab672bc5-2034-42f0-9404-8803db812611,-0.136478,0.6917290316154091,50
446320f7-f7af-46dd-bdb4-2ec055abbf74,-0.136158,0.687587463554081,50
acc8b7c6-833f-4bf6-84c1-a06a05dc1d28,-0.13577,0.6764644688770146,50
6859043e-9ba4-49be-880d-51a94225d7be,-0.13556530612244896,0.7185459271307983,49
79d91684-70c2-4825-be83-58253a273df3,-0.135544,0.6754126748068887,50
