image_id,dimension,modality,within_mean,cross_mean,n_matched_pairs
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,political_spectrum,perception,0.36597902494331064,0.2516459523809524,12
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,personality,caption,0.9357945879879556,0.9301926462498891,24
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,personality,justification,0.6503006428720238,0.5467080540853994,24
13z1njXGzj6Pwf49GtwRXx5t754PbKHiJ,personality,perception,0.36597902494331064,0.30099323412698414,24
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,gender,caption,0.9735345084571692,0.972604969808054,12
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,gender,justification,0.693370625576625,0.6770270682026823,12
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,gender,perception,0.5237726757369614,0.489380918367347,12
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,economic_status,caption,0.9735345084571692,0.9722071821295911,12
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,economic_status,justification,0.6933706255766249,0.48538171589800716,12
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,economic_status,perception,0.5237726757369614,0.48204748299319733,12
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,political_spectrum,caption,0.973534508457169,0.9731513154242273,12
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,political_spectrum,justification,0.693370625576625,0.6172163003335777,12
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,political_spectrum,perception,0.5237726757369614,0.4895720748299319,12
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,personality,caption,0.9735345084571692,0.9727479068958517,24
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,personality,justification,0.693370625576625,0.6534784946547981,24
14oyRi0Ae7uRpRiJRw1lPfwwhhldXC84U,personality,perception,0.5237726757369615,0.5024509580498866,24
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,gender,caption,0.9323471895247746,0.9265741657488279,12
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,gender,justification,0.6534842386284184,0.6357388319163345,12
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,gender,perception,0.5314405976676385,0.500550052910053,12
160nowuoebdBnrXT3OgLQmAXD-qAJdkhn,economic_status,caption,0.9323471895247746,0.9279441799376996,12
