model,display_model,heatmap,figure,metric,row_label,column_label,value
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Home & peaceful scene,F/High/Prog/Empa,0.063888888888888884
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Typical urban scene,F/High/Prog/Empa,0.050000000000000003
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Natural landscape & beauty,F/High/Prog/Prag,0.21693907875185736
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Work & development,F/High/Prog/Prag,0.14115898959881129
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Accident & police response,F/High/Prog/Prag,0.10995542347696879
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Rural & quiet road,F/High/Prog/Prag,0.10401188707280833
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Historical & preserved,F/High/Prog/Prag,0.074294205052005943
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Destruction & conflict,F/High/Prog/Prag,0.074294205052005943
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Streets & orderly urban,F/High/Prog/Prag,0.068350668647845461
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",City & nature,F/High/Prog/Prag,0.071322436849925702
qwen-vl,Qwen3-VL,topic_persona_proportion,Main-paper topic-persona heatmap,"within-profile topic proportion, renormalized over displayed topics",Home & peaceful scene,F/High/Prog/Prag,0.074294205052005943
